id	site	country	latitude	longitude	coord_source	periods	fauna_source	Hippopotamus_amphibius	Rhinoceros_hemitoechus	Dicerorhinus_sp	Dicerorhinus_hemitoechus	Dicerorhinus_mercki	Equus_sp	Equus_ferus	Equus_hemionus	Equus_africanus	Equus_hydruntinus	Equus_greyvi	Sus_sp	Sus_scrofa	Sus_gadarensis	Ceratotherium_simum	Phacochoerus_aethiopicus	Phacochoerus_garrodae	Addax_nasomaculatus	Damaliscus_sp	Giraffa_camelopardalis	Camelus_sp	Camelus_dromedarius	Camelus_ferus	Camelus_bactrianus	Camelus_thomasi	Homoioceras_antiquus	Cervus_sp	Cervus_elaphus	Cervus_duvauceli	Cervus_unicolor	Axis_axis	Axis_porcinus	Dama_sp	Dama_dama	Dama_mesopotamica	Capreolus_capreolus	Boselaphus_sp	Boselaphus_tragocamelus	Bos_sp	Bos_primigenius	Bubalus_sp	Bubalus_arnee	Bison_bison	Syncerus_caffer	Alcephalus_sp	Alcelaphus_buselaphus	Adenota_kob	Antilope_cervicapra	Taurotragus_sp	Oryx_sp	Oryx_leucoryx	Oryx_dammah	Hippotragus_equinus	Gazella_sp	Gazella_gazella	Gazella_dorcas	Gazella_subgutturosa	Gazella_leptocerus	Gazella_bennetti	Gazella_rufifrons	Gazella_dama	Ovis_sp	Ovis_orientalis	Ovis_vignei	Ovis_ammon	Ammotragus_lervia	Capra_sp	Capra_aegagrus	Capra_nubiana	Hemitragus_sp	Hemitragus_jayakari
34	Bouqras	Syria	35.030	40.390	CONTEXT	EN	Hooijer 1966; Clason 1977, 1981	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
35	Can Hasan III	Turkey	37.250	33.370	CONTEXT	EN	Payne 1972; Payne pers. comm.	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
36	Choga Mami	Iraq	33.900	45.170	CONTEXT	LN	Bökönyi 1978	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	Çatal Hüyük	Turkey	37.668	32.828	Pleiades	EN	Perkins 1969	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
38	Çayönü Tepesi	Turkey	38.218	39.727	Pleiades	EN	Lawrence 1980, 1982; Meadow 1986	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
39	Dab'a, Tell ed-	Egypt	30.786	31.823	Pleiades	BA	Boessneck 1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	Dahan-i Gulaman	Iran	30.780	61.136	Pleiades	IA	Compagnoni 1980a	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	Dakhla Oasis	Egypt	25.573	29.062	Pleiades	LN	Churcher 1983	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
42	Dehsavar	Iran	34.313	47.131	Motarjem pers. comm.	LN	Bökönyi 1977	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
43	Deir Alla	Jordan	32.197	35.621	vici:23804	BA;IA	Clason & Buitenhuis 1978b	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	Demirci Hüyük	Turkey	39.870	30.360	CONTEXT	BA	Rauh 1981	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
